"#pciid","define","family","mobility","igp","nocrtc2","Nointtvout","singledac","name"
"0x9853","MULLINS_9853","MULLINS",1,1,,,1,"MULLINS"
"0x9854","MULLINS_9854","MULLINS",1,1,,,1,"MULLINS"
"0x9855","MULLINS_9855","MULLINS",1,1,,,1,"MULLINS"
"0x9856","MULLINS_9856","MULLINS",1,1,,,1,"MULLINS"
"0x9857","MULLINS_9857","MULLINS",1,1,,,1,"MULLINS"
"0x9858","MULLINS_9858","MULLINS",1,1,,,1,"MULLINS"
"0x9859","MULLINS_9859","MULLINS",1,1,,,1,"MULLINS"
"0x985A","MULLINS_985A","MULLINS",1,1,,,1,"MULLINS"
"0x985B","MULLINS_985B","MULLINS",1,1,,,1,"MULLINS"
"0x985C","MULLINS_985C","MULLINS",1,1,,,1,"MULLINS"
"0x985D","MULLINS_985D","MULLINS",1,1,,,1,"MULLINS"
"0x985E","MULLINS_985E","MULLINS",1,1,,,1,"MULLINS"
"0x985F","MULLINS_985F","MULLINS",1,1,,,1,"MULLINS"
"0x1304","KAVERI_1304","KAVERI",1,1,,,1,"KAVERI"
"0x1305","KAVERI_1305","KAVERI",,1,,,1,"KAVERI"
"0x1306","KAVERI_1306","KAVERI",1,1,,,1,"KAVERI"
"0x1307","KAVERI_1307","KAVERI",,1,,,1,"KAVERI"
"0x1309","KAVERI_1309","KAVERI",1,1,,,1,"KAVERI"
"0x130A","KAVERI_130A","KAVERI",1,1,,,1,"KAVERI"
"0x130B","KAVERI_130B","KAVERI",1,1,,,1,"KAVERI"
"0x130C","KAVERI_130C","KAVERI",1,1,,,1,"KAVERI"
"0x130D","KAVERI_130D","KAVERI",1,1,,,1,"KAVERI"
"0x130E","KAVERI_130E","KAVERI",1,1,,,1,"KAVERI"
"0x130F","KAVERI_130F","KAVERI",,1,,,1,"KAVERI"
"0x1310","KAVERI_1310","KAVERI",,1,,,1,"KAVERI"
"0x1311","KAVERI_1311","KAVERI",,1,,,1,"KAVERI"
"0x1312","KAVERI_1312","KAVERI",,1,,,1,"KAVERI"
"0x1313","KAVERI_1313","KAVERI",,1,,,1,"KAVERI"
"0x1315","KAVERI_1315","KAVERI",,1,,,1,"KAVERI"
"0x1316","KAVERI_1316","KAVERI",,1,,,1,"KAVERI"
"0x1317","KAVERI_1317","KAVERI",1,1,,,1,"KAVERI"
"0x1318","KAVERI_1318","KAVERI",1,1,,,1,"KAVERI"
"0x131B","KAVERI_131B","KAVERI",,1,,,1,"KAVERI"
"0x131C","KAVERI_131C","KAVERI",,1,,,1,"KAVERI"
"0x131D","KAVERI_131D","KAVERI",,1,,,1,"KAVERI"
"0x67A0","HAWAII_67A0","HAWAII",,,,,,"HAWAII"
"0x67A1","HAWAII_67A1","HAWAII",,,,,,"HAWAII"
"0x67A2","HAWAII_67A2","HAWAII",,,,,,"HAWAII"
"0x67A8","HAWAII_67A8","HAWAII",,,,,,"HAWAII"
"0x67A9","HAWAII_67A9","HAWAII",,,,,,"HAWAII"
"0x67AA","HAWAII_67AA","HAWAII",,,,,,"HAWAII"
"0x67B0","HAWAII_67B0","HAWAII",,,,,,"HAWAII"
"0x67B1","HAWAII_67B1","HAWAII",,,,,,"HAWAII"
"0x67B8","HAWAII_67B8","HAWAII",,,,,,"HAWAII"
"0x67B9","HAWAII_67B9","HAWAII",,,,,,"HAWAII"
"0x67BA","HAWAII_67BA","HAWAII",,,,,,"HAWAII"
"0x67BE","HAWAII_67BE","HAWAII",,,,,,"HAWAII"
